Record Length,2.500000e+03,,  -0.012420000000, 122.00000,
Sample Interval,1.000000e-05,,  -0.012410000000, 122.00000,
Trigger Point,1.242000000000e+03,,  -0.012400000000, 122.00000,
,,,  -0.012390000000, 122.00000,
,,,  -0.012380000000, 122.00000,
,,,  -0.012370000000, 120.00000,
Source,CH1,,  -0.012360000000, 120.00000,
Vertical Units,V,,  -0.012350000000, 120.00000,
Vertical Scale,5.000000e+01,,  -0.012340000000, 120.00000,
Vertical Offset,-2.000000e+00,,  -0.012330000000, 120.00000,
Horizontal Units,s,,  -0.012320000000, 118.00000,
Horizontal Scale,2.500000e-03,,  -0.012310000000, 118.00000,
Pt Fmt,Y,,  -0.012300000000, 118.00000,
Yzero,0.000000e+00,,  -0.012290000000, 118.00000,
Probe Atten,1.000000e+01,,  -0.012280000000, 118.00000,
Firmware Version,FV:v11.06,,  -0.012270000000, 116.00000,
,,,-00.012260000000, 116.00000,
,,,-00.012250000000, 116.00000,
,,,-00.012240000000, 116.00000,
,,,-00.012230000000, 116.00000,
,,,-00.012220000000, 116.00000,
,,,-00.012210000000, 114.00000,
,,,-00.012200000000, 114.00000,
,,,-00.012190000000, 114.00000,
,,,-00.012180000000, 114.00000,
,,,-00.012170000000, 114.00000,
,,,-00.012160000000, 112.00000,
,,,-00.012150000000, 112.00000,
,,,-00.012140000000, 112.00000,
,,,-00.012130000000, 110.00000,
,,,-00.012120000000, 112.00000,
,,,-00.012110000000, 110.00000,
,,,-00.012100000000, 110.00000,
,,,-00.012090000000, 110.00000,
,,,-00.012080000000, 108.00000,
,,,-00.012070000000, 108.00000,
,,,-00.012060000000, 108.00000,
,,,-00.012050000000, 108.00000,
,,,-00.012040000000, 108.00000,
,,,-00.012030000000, 106.00000,
,,,-00.012020000000, 106.00000,
,,,-00.012010000000, 106.00000,
,,,-00.012000000000, 106.00000,
,,,-00.011990000000, 106.00000,
,,,-00.011980000000, 104.00000,
,,,-00.011970000000, 104.00000,
,,,-00.011960000000, 104.00000,
,,,-00.011950000000, 104.00000,
,,,-00.011940000000, 102.00000,
,,,-00.011930000000, 102.00000,
,,,-00.011920000000, 102.00000,
,,,-00.011910000000, 102.00000,
,,,-00.011900000000, 100.00000,
,,,-00.011890000000, 100.00000,
,,,-00.011880000000, 100.00000,
,,,-00.011870000000, 100.00000,
,,,-00.011860000000,  98.00000,
,,,-00.011850000000,  98.00000,
